text,label
Кроме того стажировался в центральном офисе торговой сети Верный  где изучил внутреннюю систему информационной безопасности,result
Кроме того стажировался в центральном офисе торговой сети Верный  где изучал внутреннюю систему информационной безопасности,process
Мне бы очень хотелось попасть на хакатон от Газпрома  чтобы проявить себя,result
Мне бы очень хотелось попасть на хакатон от Газпрома  чтобы набраться опыта  познакомиться с новыми людьми,result
Работа с реальными данными вызывает у меня интерес  так как в процессе возможно не только проанализировать текущее состояние сферы исследования  но и прогнозировать тенденции развития любой отрасли,process
К своим достижениям отношу публикацию научной статьи в журнале Пермского политехнического института,result
Уверен  что участие в настоящем мероприятия поможет мне развиться свои компетенции  а также спроектировать свою траекторию развития в этой области,result
Настоящая работа была также отмечена дипломом второй степени в конкурсе научных работ с международным участием в городе санкт петербург,result
В 2020 году я закончила бауманку по направлению инноватика с красным дипломом,result
А в этом году закончила ИТМО по направлению беспилотники тоже с красным дипломом,result
Этим летом мы с командой участвовали в кейс чемпионате от Газпромнефти  в котором необходимо было предложить применение методов машинного обучения для АЗС,process
Мы предложили 10 способов  как повысить лояльность клиентов и ускорить обслуживание на АЗС  и стали победителями,result
В ИТМО я занимался различными организациями  так например с центром карьер организовывал различные мероприятия,process
Ну с выбором специализации я поторопился  Зато получил очень хорошую техническую подготовку,result
А также поучаствовал в организации международного саммита от фонда Half Price,process
Я очень хочу поучаствовать в хакатоне  потому что мне интересно прикоснуться к работе такой крупной компании как Газпром  у меня одним из любимых предметов была эконометрика,process
Данный опыт у меня уже есть  я решала различные кейсы,process
Также меня мотивирует то  что после хакатона есть возможность остаться на стажировке и потом остаться в команде  Очень хотелось бы,result
Так же про себя могу сказать  что я правительственный стипендиат и веду свои научные проекты,result
Я участвую в международных конференциях,process
Люблю космонавтику  собственно этим и увлекаясь большую часть времени,process
Играю в шахматы  люблю бегать,process
Последний год учусь по программе Data Science  Мой проект магистерский связан с анализом временных рядов,process
Более того  являлся участником международного обмена со школой Ульежа в программе Data Science (это университет в Бельгии)  Там изучал нейронные сети,process
Один из таких фан проектов для Газпромнефти ТЦ в блоке новых технологий должен выйти чат бот на днях  это я его сделал,result
Ну собственно всё немножко о себе в двух минутах больше не расскажу  Хотите   могу на полчаса занять ваше время  Я уже это видео перезаписываю полчаса,process
Я до этого никогда не участвовал в хакатонах или каких то кейс чемпионатах  но при этом очень много читал про них,process
Это будет хорошая попытка для меня и вот поэтому я записываю это видео,process
Я учусь в Университете четвёртом курсе как видно по моей причёске хожу на военного кафедру,process
Мы с другом с прошлого года занимаемся нашим мини стартап проектом,process
Мы создали продукт из нескольких комплектующих,result
Образно говоря мы готовим маршмеллоу на свечах то есть его можно приготовить где угодно,process
Вот и сейчас мы активно занимаемся этим,process
Первую партию товара мы уже выпустили  активно занимаемся её распространением  ищем себе маркетологов и других сотрудников,result
Будем как то развивать наш товар,result
Вот этим мы сейчас занимаемся,process
А теперь ещё хотел бы добавить что в свободное время играю в настольные игры,process
Кроме того люблю почитать  погулять  ну и в компьютер поиграть,process
Хотим как то развить наш товар,result
Если говорить про средний балл  то он составляет 9 3 по итогам обучения на третьем курсе,result
Кроме того  дополнительно прохожу образование на различных онлайн платформах,process
Успешно закончила такие онлайн курсы как финансовые технологии  теория организации и стратегический менеджмент на английском языке,result
Также хотела бы рассказать  что в прошлом году участвовала в конкурсе исследовательских студенческих работ am и C Junior,process
По итогам проведения конференции работа была выбрана и опубликована в сборнике,result
Также есть и другие публикации  например  посвящённая развитию транспортного обеспечения арктического региона и оценок эффективности логистической деятельности порта,result
Люблю учиться,process
Я хотела бы стать стажером вашей компании,result
Я являюсь призёром кейс чемпионата Твой вектор  на котором разрабатала бизнес стратегию для сети общественного питания Евразия,result
Второе  я являюсь участником Джимом 2021  озон,result
И третье  я являюсь также призёром кейс чемпионата  посвящённого ребрендингу и разработке новой актуальной бизнес стратегии для библиотеки имени Ленина,result
"Я являюсь участницей десятой международной научно практической конференции посвящённой памяти профессора Петрова ""Профессия бухгалтера   важнейший инструмент эффективного управления сельскохозяйственным производством""  проводимая казанским государственным аграрным университетам 15 марта 2022 года ",process
"Статья моего авторства ""криптографические активы бухгалтерский учет в соответствии sms фо"" была принята к печати в сборнике материалов национальной научно практической конференции с международным участием инновационное образовательные технологии как инструмент развития интеллектуального потенциала региона проводимая кабардино балкарским государственным университетом в период с 25 по 26 мая ",result
Я буду очень рада поучаствовать в хакатоне снабжение цифровая эволюция,process
вообще направление искусственного интеллекта очень меня привлекает и у меня есть огромное желание и потенциал развиваться в этом направлении и связать с ним мою жизнь,process
Несколько лет назад начал изучать (в основном самостоятельно) искусственный интеллект и на данный момент уже добился определённых результатов,result
Так например на демоэкзамене по стандартам worldskills по направлению машинное обучение и большие данные набрал 86 баллов   наибольшее количество баллов в России,result
Также по этому же направлению занял первое место в отборочном чемпионате ВУЗа Тюменского магистрального университета,result
Опубликованы две научные статьи  а также принимал участие в научных конференциях  в частности  в международных,result
На федеральном интернет экзамене выпускников бакалавриата получил Серебряный сертификат,result
"Также результаты выпускной квалификационной работы бакалавриата по теме ""цифровая система мониторинга показателей деятельности университета"" были приняты к внедрению в Тюменский магистральный университет  ",result
До переезда в санкт петербург работал специалистом по информационным технологиям в строительной компании страна девелопмент и в автомобильной компании базис моторс  а также работал бизнес аналитиком в тюменском магистральном университете,process
благодаря Олимпиаде Я профессионал я поступаю на направление ИТМО и начинаю активно заниматься самообразованием  проходить курсы  читать литературу соответствующую  чтобы какие то знания получить,process
Имею сертификаты  немецкий уровень C1  английский уровень B2,result
Хотел бы поучаствовать чтобы получить какой то опыт в этой сфере,result
Хотел бы поучаствовать понять как это используется как применяется,process
Имею высокий рейтинг,result
Я хотел бы получить более обширное понимание  как там всё устроено изнутри  как происходит процесс и какие сейчас есть проблемы,process
Я хотел бы получить более обширное понимание  как проявить себя и в дальнейшем уже в них развиваться,result
Хочу профессионально развиваться далее уже в финансовой сфере,result
Сейчас занимаюсь в рамках развития стартапов стартап студии ИТМО,process
"У меня есть ielts международный сертификат английского языка с шестью баллами  в научном сфере писал ВКР на тему ""взаимосвязь фактора Зелёной экономики и уровня бедности в Европейском союзе и России"" и далее она была опубликована в журнале ",result
И также ещё среди достижений своих выделяю то  что я легко разбираюсь в каких то новых для меня неизвестных сферах,process
О себе могу сказать  что я достаточно активный  участвую во многих мероприятиях  проводимых нашим любимым вузом  а также являюсь организатором некоторых из них  что считаю немаловажным фактором,process
В школьные годы я проходил Олимпиаду в данном университете,process
получил дипломы первый и третий степени по физике и математике соответственно,result
Также являюсь членом сборной университета по мини футболу,process
имею разряд по тайскому боксу,result
"Как говорил Отто Октавиус в небезызвестном фильме ""Человек паук""  ""Питер Паркер умный  но ленивый""  Это про меня  но я борюсь с ленью",process
для этого я прохожу курсы  пробуюсь на различные стажировки и стараюсь принимать участие в решении максимально реальных кейсов,process
Я уже прошёл тестовое задание,result
сейчас записываю интервью и надеюсь  что я получу возможность познакомиться ближе с компанией и принять участие в хакатоне по решению реальных задач в области анализа данных,process
Основным своим достижением могу считать успешное совмещение учёбы и проектной деятельности,result
Благодаря своему высшему я приобрёл опыт в разработке и создании информационных систем,process
На протяжении полутора лет я также активно развиваясь в Big Data и Machine Learning,process
Я продолжаю обучаться новому и применяю свои знания в различных проектах  также пытаюсь участвовать соревнованиях и хакатонах,process
В данном же хакатоне я участвую  чтобы получить оценку моих знаний и навыков улучшить hard и  soft skills,result
Занял первое место в кейс чемпионате по машинному обучению от Лиги ВУЗов и Газпром нефти,result
Что касается моего профессионального развития  я работал в газпромнефти цифровые решения над проектами  связанными с беспилотным летательными аппаратами  а именно с приложением для операторов,process
После я работал в университете ИТМО  разрабатывая различные программные обеспечения  а также применение искусственного интеллекта в киберфических системах,process
И на данный момент я работаю devops инженером в компании лига цифр экономики,process
Занимался машинным обучением на протяжении полутора лет  в том числе в ходе обучения по своей специальности,process
Относительно того  чем я могу похвастаться  у меня высокий средний балл в ВУЗе,result
Но больше всего меня интересует то  как руководители решают определённого рода задачи,process
Сам себя вижу в аналитике  но также мне меня интересует it  транспорт  менеджмент,process
я часто выступал на конференциях с разными докладами и часто моей темой было бизнес  то  в каком он состоянии  какой у него потенциал или какие то определённые сферы  которые могут развиваться,process
И я надеюсь  что в хакатоне я больше узнаю о бизнесе  о том как руководители принимают решения и возможно это поможет мне самому в будущем когда то вести свой бизнес,process
Думаю мне это будет интересно и я смогу в будущем развиваться в одном из этих направлений,process
Прошла летний цех от Росатом  это был летний интенсив  длился около недели  однако за это время я смогла изучить различное поведение трафиков  то есть научилась их отслеживать по различным протоколам с помощью виртуальных машин,result
Также прохожу на данный момент курсы в компании Информзащита по направлению консалтинг и аудит,process
Также из имеющихся уже пройденных курсов это APILinux  летняя практика у меня проходила с дронами,result
Мы учились с помощью программы metashapePro и geoscan обрабатывать массивы данных  в данном случае это снимки  и с помощью них делать ортофотоплан местности,process
Также сейчас я учусь в ИТМО по программе мобильный облачные технологии в магистратуре и в целом планирую дальше продолжать свой учебный путь,process
На протяжении учёбы в бакалаврские года я участвовала в различных летних школах  конференциях  хакатонах,process
Прослушала курс лекций по имитационному моделированию от Open Modelica на английском языке,result
Поучаствовала в летней школе от Иннополиса на тему российского интеллекта  на котором наша команда заняла третье место,result
Мы работали над составлением свода лучших практик  которые есть в области искусственного интеллекта,process
Было очень интересно  читала в это время очень много различных статей  которые для меня заставили задуматься над этичностью многих it проектов и технологий,process
"Во время учебы участвовала в различных олимпиадах  таких как ""я профессионал"" в направлении бизнес информатика  и посещала лекции Сбербанка ",process
"Диплом я писала на тему ""разработка модели прогнозирования ESG""  поскольку это Очень актуальная тема и моя модель прогнозировала индекс ESG в зависимости от доходов компании и других показателей ",process
В целом очень хочу поучаствовать хакатоне и надеюсь  что смогу присоединиться к ребятам,process
Сейчас я продолжаю заниматься наукой и рассматриваю альтернативные источники энергии,process
Я считаю  что необходимо расширять кругозор и читать дополнительные научные статьи  а также научную литературу связаны с экономикой  посещаю кейс чемпионаты и прохожу курсы на открытом образовании,process
Недавно я закончила курс  посвящённый финансово грамотности,result
Этим летом я проходила стажировку в компании Евросиб в логистическом отделе заполняла и вводила данные по первичным документам,process
Сейчас же я прохожу практику в компанию Урса Евразия в отделе бухгалтерии,process
Также за время обучения у меня был опыт прохождения различных кейс турниров и молодёжных форумов,process
Также за время обучения я прошла различные кейс турниры и молодёжные форумы,result
Я вообще занимаюсь информационной безопасностью  продвигаюсь больше там и сейчас я стажируюсь в компании на стажёра по информационной безопасности  но тем не менее из заявленных тем я выделяю Data Science,process
Для меня это первый опыт и попробовать себя в таком было бы вообще отлично и хорошо,process
Эта тема мне нравится  ее я рассматрияваю как не менее важную и интересную в своей жизни после информационной безопасности,process
Я прошёл довольно много курсов по этой тематике  в том числе как курсы от Тинькоффа,result
Мне стало интересно поучаствовать в этой программе  чтобы попробовать свои силы,process
За своё время обучения в университете я в основном участвовала в конференциях пару раз и в конкурсах,process
Мы с командой   победители конкурса  такое было небольшое маркетинговое исследование и затем нас напечатали в журнале,result
Также по дисциплине менеджмент у нас был очень интересный преподаватель со своей интересной методикой и он в каждый курс проводит бизнес игры  в которых мы конечно же тоже участвуем,process
Я также проходила стажировку в компании  Благодарна компании за тот опыт  который я получила,process
Поэтому в течение 3 4 лет уже я занимаюсь коммерческой разработкой на фрилансе,process
В одиннадцатом классе я поступил в университет ИТМО благодаря олимпиаде по математике,result
В университете я большую часть времени стал посвящать программированию,process
В университете я большую часть времени посвящал программированию,process
В университете я большую часть времени посвятил программированию,result
Для меня возможность учиться и работать среди единомышленников стала основным источником мотивации  Я всё глубже и глубже погружался в сферу it и программирования,process
Помимо этих дисциплин я также увлекаюсь экономикой и менеджментом  так как считаю  что данное направление позволяет более глубоко понять структуру и развитие современного бизнеса,process
Коммуникации тоже очень важны  поэтому я с раннего детства изучаю английский язык и по сей день поддерживаю высокий уровень языка,process
Параллельно ему я изучаю китайский язык на уровне B1  так как считаю  что это является перспективным навыком в работе и коммуникации с людьми,process
Сейчас я нахожусь на этапе своего развития  когда помимо просто обучения университете и какой то теории мне нужна практика  настоящей опыт работы  посмотреть  изучить изнутри  как работают большие компании  как это всё устроено,process
Поэтому я бы хотел пройти стажировку вашей компании,result
За это время я успел поучаствовать в мегаолимпиаде ИТМО и победить в ней  благодаря чему я и поступил магистратуру  а также принял участие в двух хакатонах ипайто челлендж  одним заданий которого было предсказание дебета нефти в скважинах,result
Поучаствовать в данном хакатоне я решил для того  чтобы потренироваться на реальных кейсах  набраться в этом опыта,process
Поучаствовать в данном хакатоне я решил для того  чтобы попасть к вам на стажировку,result
Япришла на позицию аналитика данных  потом перешла на позицию скаута  Дальше я стала Project Manager ом,result
На данный момент я имею свою команду  в которой есть шесть человек и мы реализовываем Интересные проекты,process
Также есть опыт в различных проектах вне работы  то есть это более частные  smm проекты развития брендов  развития бизнеса  запуск приложений  запуск различных лендингов и раскрутка,result
Сама по себе очень жизнерадостная  целеустремлённая  много путешествую,result
Просто очень целеустремлённая  яркая девушка  которая знает чего хочет,result
Из навыков как для анализа данных есть базовые знания питона  базовые знаний SQL (ну его сейчас учу)  уверенное знание Excel,result
Опыт у меня был работы в компании ООО ВСС   это аэропорт Пулково  работал в отделе коммерческого маркетинга  то есть не авиационного маркетинга  занимался разработкой нового проекта терминала внутренних вылетов  то есть мы делали среду в этом терминале комфортной для пассажиров  чтобы они делали больше покупок  чтобы они побольше держались перед вылетом,process
Помимо основных маркетинговых задач я занимался оптимизацией работы команды нашей посредством таких агрегаторов как Miro  Jiro и Trello  то есть организация рабочих процессов,process
Также хотелось заметить  что я активный студент  не только хорошо учусь на 7 4 из 10  но и занимаюсь учебной деятельностью,result
Я хорошо учусь на 7 4 из 10,result
Также я была отобрана в воронку для участия от Пермского кампуса и отобрана в составе делегации Перми для участия во Всероссийской Студенческой весне,result
Мы участвовали в проидлик сидераторе по созданию умного дома,process
Мы участвовали в проидлик сидераторе по созданию умного дома  который далее был внедрён в ЖК комплексы в городе Пермь  который называется ILove,result
Также я была организатором многих мероприятий студактива  на моём счету концерты  вместимостью в 150 человек,process
Также я организовала много мероприятий студактива  на моём счету концерты  вместимостью в 150 человек,result
Также я организовывала много мероприятий студактива  на моём счету концерты  вместимостью в 150 человек,process
Также в вышке мы решали большое количество кейсов таких компаний как SBS консалтинг  Лукойл и так далее,process
внедряли наше решение в деятельность самой организации,process
эффективно внедрили наше решение в деятельность самой организации,result
Я проходила практику на фармацевтическом заводе медисорб  также в Лукойл е и во многих крупных компаниях,process
Также я работала в сфере маркетинга Product management а и была менеджером артиста большой крупный эстрадной школы,process
В 2021 году награжден дипломом за успехи в учёбе и активном участии в научных и общественных мероприятиях  Также пользуюсь авторитетом в студенческом коллективе,result
В 2020 году прошел обучение по курсам материальной биологии  геофизики и процессам технологии,result
Участвовал в различных мероприятиях как молодой специалист,process
Являюсь участником всероссийского турнира по биологии,process
Также участвовал в научно техническом конкурсе,process
На третьем курсе проходил производственную практику с 17 июня по 29 июля 2022 года,process
С 18 августа начал работать в филиале газпром проектирование как инженер проектировщик,process
Благодаря своим стараниям  усилиям и неподдельному интересу к нефтегазовой отрасли  я победила в пятом сезоне профессиональной всероссийской студенческой олимпиаде по геологическим наукам,result
Близкое знакомство с цифровыми технологиями началось с момента моего прохождения стажировки в центре herofot в городе Томск,process
Там приходилось работать с большим количеством данных  правильно подготавливать и обрабатывать датасет для построения корректной геологической гидродинамической модели участка месторождения,process
С того момента я заинтересовалась такими понятиями как Data Science и Machine Learning и начала своё самостоятельное изучение этих понятий в одной из известных онлайн школ по профессии Data Science инженер,process
Участие в хакатоне цифровые сервисы станет большим шагом для меня в реализации данной цели,result
Занимаюсь научной деятельностью  такой как написание научных статей  которые публикуются в дальнейшем,process
Летом проходила стажировку по своему направлению  как экономика  помощник бухгалтера,process
Занималась проведением и проверкой кассовых операций юридических лиц  систематизацией первичной документации и сверкой с поставщиками,process
Провела и проверила кассовые операции юридических лиц  систематизировала первичную документацию и сверила с поставщиками,result
Также с моей прекрасной командой мы выиграли Всероссийское образовательный кейс чемпионат Проэнергетика под эгидой лиги ВУЗов Газпромнефти в треке ESG закупки,result
Я участвовала в различных научных конференциях  но не сильно углублялась в специальность  поскольку ВУЗ не стремился направлять нас на различные мероприятия  форумы и так далее,process
"сейчас я перешла на второй курс магистратуры в санкт петербуржском государственном экономическом университете по направлению международная экономика и уже за первый курс я успела написать статью на тему ""Оценка конкурентоспособности экспорта крупнейших стран мира""  поучаствовать в нескольких научных конференциях  даже стать победителем в одной из них  а именно в международной научно практической конференции молодых учёных ""Научные исследования современных проблем развития России"" ",result
По специальности экономика я пока ещё не работала,process
Работала тренером по художественной гимнастике для того  чтобы заработать какие то деньги  пока учусь,process
Но по специальности не работала  однако сейчас стараюсь активно участвовать в образовательных форумах  хакатонах и других мероприятиях для того  чтобы набирать опыт именно по специальности экономика для своей будущей карьеры,process
Учусь на отлично в своём университете,process
За спиной имею опыт участия в кейс чемпионатах  таких как Case In,process
К сожалению призовых мест,result
есть опыт активного участия и опыт создания команды,process
Есть опыт участия в тематических конференциях  посвященных а журналистике и развитию бизнеса в малых регионах,process
Активный молодой человек  стремительно развивающийся  готов меняться  готов впитывать информацию  главное  чтобы это было полезно и применимо в моей текущей сфере деятельности,process
Месяц назад проходил практику линейной печорской промысловой службе техником,process
Месяц назад прошел практику линейной печорской промысловой службе техником,result
"Имею публикации и статьи на темы ""инвестиции в Российский бизнес"" и и""зменения фильтрационной им костных свойств пласта при изменении состава воды ПДД"" ",result
"Пишу публикации и статьи на темы ""инвестиции в Российский бизнес"" и и""зменения фильтрационной им костных свойств пласта при изменении состава воды ПДД"" ",process
Являюсь победителем Студенческой отраслевой олимпиады Газпром  Хочу пробежать марафон,result
Победа!,result
Хочу выпустить свою коллекцию одежды,result
Хочу стать профессионалом ,result
Вижу себя создателем платформы для общения,result
целеустремленный,result
Мою статью внесли в список лучших,result
Я все довожу до результата,result
Я все довожу до конца,result
Я всегда довожу работу до идеала,result
Я ориентирован на результат,result
Я ориентирован на работу,process
я стремлюсь выиграть,result
мне удалось привлечь к своему проекту спонсоров,result
я придумал новую программу скидок и акций,result
благодаря моей идее доход компании возрос на 10 процентов,result
это привело к падению дохода и спроса ,result
я не боюсь ставить цели и достигать их,result
не всегда удается выполнить поставленные задачи,result
